animal,image_url
Vulpes vulpes,https://www.natureplprints.com/t/729/mountain-hare-lepus-timidus-footprints-snow-15364405.jpg.webp
Vulpes vulpes,x-raw-image:///e89b31812cafd04cd61efaab2e41bf77116262225c03f75dbd21d88f7bb0916d
Vulpes vulpes,https://www.zoo.cam.ac.uk/files/styles/inline/public/media/fox_camera_trap.jpeg?itok=7yodOQmp
Vulpes vulpes,https://www.mediastorehouse.co.uk/t/172/european-fox-tracks-snow-harz-mountains-4191201.jpg.webp
Vulpes vulpes,https://i.etsystatic.com/6802769/r/il/67bfe7/1754550578/il_300x300.1754550578_bcnd.jpg
Vulpes vulpes,https://www.naturepl.com/blog/wp-content/uploads/2023/02/naturepl_01513903-360x240.jpg
Vulpes vulpes,https://www.natureplprints.com/t/729/red-fox-vulpes-vulpes-tracks-fresh-snow-20117786.jpg.webp
Vulpes vulpes,https://www.nps.gov/yell/learn/nature/images/tracks_redfox.png
Vulpes vulpes,https://www.ardeaprints.com/t/172/footprints-sand-footprints-sand-washed-away-1825177.jpg.webp
Vulpes vulpes,https://mobile.wbsj.org/en/utonai/images/monthly/monthly02.jpg
Cervus elaphus,https://ars.els-cdn.com/content/image/1-s2.0-S0048969724041287-ga1.jpg
Cervus elaphus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cervus_elaphus_Luc_Viatour_6.jpg/220px-Cervus_elaphus_Luc_Viatour_6.jpg
Cervus elaphus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Red_deer_%28Cervus_elaphus%29_hind.jpg/220px-Red_deer_%28Cervus_elaphus%29_hind.jpg
Cervus elaphus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Red_deer_%28Cervus_elaphus%29_reconstructed_and_recent.png/220px-Red_deer_%28Cervus_elaphus%29_reconstructed_and_recent.png
Cervus elaphus,x-raw-image:///57e2126a579cc3e5c8bf55b73f5eed3472b474ff38b9fbb6113c56a81440cbf8
Cervus elaphus,https://www.natureplprints.com/t/729/red-deer-cervus-elaphus-stag-mud-bath-19330558.jpg.webp
Cervus elaphus,https://images.robertharding.com/zoom/RF/RH_RF/HORIZONTAL/1184-9488.jpg
Cervus elaphus,https://www.researchgate.net/profile/Gian-Pillola/publication/236521405/figure/fig5/AS:669003571806223@1536514289790/Tracks-showing-slight-upward-displacement-of-pressure-pad-on-the-left-side-made_Q320.jpg
Cervus elaphus,https://upload.wikimedia.org/wikipedia/commons/6/6e/Cervus.elaphus.track.on.snow.jpg
Cervus elaphus,https://kids.kiddle.co/images/thumb/5/5c/Cervus_elaphus_Luc_Viatour_5.jpg/250px-Cervus_elaphus_Luc_Viatour_5.jpg
Cervus elaphus,https://pestsmart.org.au/wp-content/uploads/sites/3/2020/06/footprints_rabbit-300x203.jpg
Cervus elaphus,https://www.adfg.alaska.gov/static/species/speciesinfo/elk/images/elk_tracks.jpg
Cervus elaphus,https://static.vecteezy.com/system/resources/thumbnails/053/722/973/small/red-deer-doe-cervus-elaphus-in-focus-photo.JPG
Cervus elaphus,https://ars.els-cdn.com/content/image/1-s2.0-S2351989422001883-gr4.jpg
Cervus elaphus,https://www.licensestorehouse.com/t/466/red-deer-cervus-elaphus-young-stags-8324713.jpg.webp
Cervus elaphus,https://www.natureplprints.com/t/729/mountain-hare-lepus-timidus-footprints-snow-15364405.jpg.webp
Cervus elaphus,https://www.adfg.alaska.gov/static/species/speciesinfo/moose/images/moose_tracks.gif
Cervus elaphus,https://www.licensestorehouse.com/t/629/red-deer-cervus-elaphus-stag-12554773.jpg.webp
Cervus elaphus,https://www.mammalwatching.com/wp-content/uploads/AAAMammalwatching/Images/Palearctic/Romania/20220305-Lynx-tracks-209x300.jpg
Cervus elaphus,https://static.vecteezy.com/system/resources/thumbnails/046/450/410/small/sunlit-red-deer-cervus-elaphus-stag-with-new-antlers-growing-facing-camera-in-summer-nature-alert-herbivore-from-side-view-with-copy-space-wild-animal-with-brown-fur-observing-on-hay-field-photo.jpg
Cervus elaphus,https://lizzieharper.co.uk/wp-content/uploads/2018/04/red-deer-stag-head-272x315.jpg
